2015-10-10 09:45:03 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2015-10-16 06:58:01 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2015-10-16 12:57:05 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2015-10-17 12:56:23 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2015-10-19 07:27:08 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2015-10-23 06:31:54 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2015-10-23 13:30:33 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2015-10-27 12:03:24 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2015-10-31 10:06:44 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2015-11-25 15:07:27 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2015-11-28 09:09:37 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2015-12-06 21:04:11 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2015-12-12 09:17:41 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
2015-12-19 10:10:55 RRSS    ERROR: Incorrect RSS response. Scheme ID: 1, server: www.1c-bitrix.ru, port: , page: /upload/xdimport/xdimport_rss_ru.xml, params: 
